,institucion,categoria,numero,numero_normalizado,tipo_numero,canal,descripcion,shortcode,whatsapp,fuente
26,IGM (Instituto Guatemalteco de Migración),gobierno,24112411,+50224112411,fijo,central,Línea central Instituto Guatemalteco de Migración,,False,igm.gob.gt
27,EMETRA (Empresa Metropolitana de Transporte),gobierno,1551,,shortcode,emergencias,Emergencias viales y Policía Municipal de Tránsito,1551,False,mundochapin.com
28,EMETRA (Empresa Metropolitana de Transporte),gobierno,22858400,+50222858400,fijo,central,Teléfono directo EMETRA,,False,mundochapin.com
29,DHL Guatemala,paqueteria,23901100,+50223901100,fijo,call_center,Atención al cliente DHL Guatemala,,False,@dhlguatemala Twitter oficial
30,FedEx Guatemala,paqueteria,24112100,+50224112100,fijo,call_center,Servicio al cliente FedEx — desde cualquier teléfono en Guatemala,,False,fedex.com/es-gt/customer-support/call-us.html
31,FedEx Guatemala,paqueteria,1801003339,,toll_free,call_center,Línea gratuita FedEx Guatemala,1801003339,False,fedex.com/es-gt/customer-support/call-us.html
32,Guatex,paqueteria,23230500,+50223230500,fijo,call_center,"Central Guatex — Zona 12, Ciudad de Guatemala",,False,latinoplaces.com (directorio verificado)
33,Cargo Expreso,paqueteria,24744444,+50224744444,fijo,call_center,Call center Cargo Expreso — rastreo y atención al cliente,,False,cargoexpreso.com / guaterastreo.com
34,PedidosYa Guatemala,delivery_app,36918935,+50236918935,movil,soporte_cliente,Soporte PedidosYa Guatemala (ex-Hugo),,True,numeroservicioalcliente.com — PedidosYa Guatemala
35,Pollo Campero Guatemala,restaurante_cadena_gt,web_app_only,,web_app_only,app_web,Pedidos solo vía app/web — cualquier SMS con número es sospechoso,,False,campero.com/gt
36,McDonald's Guatemala,restaurante_cadena_intl,24154600,+50224154600,fijo,servicio_cliente,Servicio al cliente McDonald's Guatemala (corporativo),,False,Facebook oficial McDonald's Guatemala
37,McDonald's Guatemala,restaurante_cadena_intl,44701770,+50244701770,movil,whatsapp_pedidos,WhatsApp pedidos McDelivery Guatemala,,True,mcdonalds.com.gt/mcdelivery
38,McDonald's Guatemala,restaurante_cadena_intl,23606363,+50223606363,fijo,contact_center_pedidos,Teléfono McDelivery — pedidos y reclamos domicilio,,False,mcdonalds.com.gt/mcdelivery
39,Burger King Guatemala,restaurante_cadena_intl,22000000,+50222000000,fijo,call_center_pedidos,Call center y WhatsApp Burger King Guatemala,,True,info.bk.gt/llamanos
40,Pizza Hut Guatemala,restaurante_cadena_intl,1744,,shortcode,call_center_pedidos,Línea directa Pizza Hut domicilio Guatemala,1744,False,directorio.guatemala.com
